EA_TUNNUS	LAHIN_TSA	NIMI_FI	EANIMI_FI	TIE	TIEOSA	ETAISYYS	X	Y	KUNNAN_NIMI
C1254909	12001	Tie 22 Oulu, Maikkula	Tienpinta	22	2	2494	7207893	431256	Oulu
C1252801	12010	Tie 22 Muhos, Hyrkäs	Kajaaniin	22	10	5633	7185499	458219	Muhos
C1252802	12010	Tie 22 Muhos, Hyrkäs	Ouluun	22	10	5633	7185499	458219	Muhos
C1252809	12010	Tie 22 Muhos, Hyrkäs	Tienpinta	22	10	5633	7185499	458219	Muhos
C1254301	13003	Tie 22 Vaala	Kajaaniin	22	20	63	7160233	494157	Vaala
C1254302	13003	Tie 22 Vaala	Ouluun	22	20	63	7160233	494157	Vaala
C1254309	13003	Tie 22 Vaala	Tienpinta	22	20	63	7160233	494157	Vaala
C1251101	13003	Tie 22 Paltamo, Kivesvaara	Kajaaniin	22	26	755	7147786	523987	Paltamo
C0250509	2014	Tie 23 Pomarkku	Tienpinta	23	104	1498	6851035	236470	Pomarkku
C0450109	4016	Tie 23 Virrat	Tienpinta	23	210	2797	6905707	343166	Virrat
C0952301	9012	Tie 23 Haapamäki	Keuruulle	23	216	1550	6905006	367819	Keuruu
C0952302	9012	Tie 23 Haapamäki	Virroille	23	216	1550	6905006	367819	Keuruu
C0650501	6009	Tie 23 Pieksämäki, Naarajärvi	Pieksämäelle	23	306	2059	6905267	502482	Pieksämäki
C0650502	6009	Tie 23 Pieksämäki, Naarajärvi	Jyväskylään	23	306	2059	6905267	502482	Pieksämäki
C0650504	6009	Tie 23 Pieksämäki, Naarajärvi	Tie 447 Kangasniemelle	23	306	2059	6905267	502482	Pieksämäki
C0650509	6009	Tie 23 Pieksämäki, Naarajärvi	Tienpinta	23	306	2059	6905267	502482	Pieksämäki
C0356301	6009	Tie 23 Pieksämäki, Siikamäki	Varkauteen	23	314	2636	6906597	521070	Pieksämäki
C0356302	6009	Tie 23 Pieksämäki, Siikamäki	Pieksämäelle	23	314	2636	6906597	521070	Pieksämäki
C0853201	8002	Tie 23 Soisalo	Joensuuhun	23	405	1109	6920099	560234	Leppävirta
C0853202	8002	Tie 23 Soisalo	Varkauteen	23	405	1109	6920099	560234	Leppävirta
C0853209	8002	Tie 23 Soisalo	Tienpinta	23	405	1109	6920099	560234	Leppävirta
C0650301	6008	Tie 23, Heinävesi, Lamminpää	Joensuuhun	23	409	5641	6933414	575374	Heinävesi
C0650302	6008	Tie 23, Heinävesi, Lamminpää	Varkauteen	23	409	5641	6933414	575374	Heinävesi
C0650303	6008	Tie 23, Heinävesi, Lamminpää	Heinävedelle	23	409	5641	6933414	575374	Heinävesi
C0350701	6008	Tie 23 Karvio	Varkauteen	23	411	5285	6932647	584673	Heinävesi
C0350702	6008	Tie 23 Karvio	Joensuuhun	23	411	5285	6932647	584673	Heinävesi
C0350703	6008	Tie 23 Karvio	Tie 85422 Lepikkomäkeen	23	411	5285	6932647	584673	Heinävesi
C0350709	6008	Tie 23 Karvio	Tienpinta	23	411	5285	6932647	584673	Heinävesi
C0651501	6008	Tie 23 Heinävesi, Suurmäki	Joensuuhun	23	414	1100	6935089	598802	Heinävesi
C0651505	6008	Tie 23 Heinävesi, Suurmäki	Joensuuhun	23	414	1100	6935089	598802	Heinävesi
C0852901	6008	Tie 23 Liperi, Kaatamo	Joensuuhun	23	416	429	6938921	610313	Liperi
C0852902	6008	Tie 23 Liperi, Kaatamo	Varkauteen	23	416	429	6938921	610313	Liperi
C0852909	6008	Tie 23 Liperi, Kaatamo	Tienpinta	23	416	429	6938921	610313	Liperi
C0452201	4002	Tie 24 Asikkala	Jämsään	24	7	1700	6786491	414335	Asikkala
C0162601	4002	Tie 24 Arrakoski	Jämsään	24	11	6308	6807583	403242	Padasjoki
C0162602	4002	Tie 24 Arrakoski	Lahteen	24	11	6308	6807583	403242	Padasjoki
C0162604	4002	Tie 24 Arrakoski	Tie 3254 Kaukelaan	24	11	6308	6807583	403242	Padasjoki
C0162609	4002	Tie 24 Arrakoski	Tienpinta	24	11	6308	6807583	403242	Padasjoki
C0950201	9005	Tie 24 Kuhmoinen, Patavesi	Jämsään	24	17	2400	6831090	406772	Kuhmoinen
C0950202	9005	Tie 24 Kuhmoinen, Patavesi	Lahteen	24	17	2400	6831090	406772	Kuhmoinen
C0150701	1014	Tie 25 Hanko	Tammisaari	25	2	65	6640590	276240	Hanko
C0162701	1014	Tie 25 Hanko, Santala	Hyvinkäälle	25	4	4095	6644637	284493	Hanko
C0162702	1014	Tie 25 Hanko, Santala	Hankoon	25	4	4095	6644637	284493	Hanko
C0162709	1014	Tie 25 Hanko, Santala	Tienpinta	25	4	4095	6644637	284493	Hanko
C0162201	1053	Tie 25 Raasepori	Karjaalle	25	9	950	6654775	301142	Raasepori
C0162202	1053	Tie 25 Raasepori	Hankoon	25	9	950	6654775	301142	Raasepori
C0162209	1053	Tie 25 Raasepori	Tienpinta	25	9	950	6654775	301142	Raasepori
C0150601	1025	Tie 25 Myllylampi	Tie 25 Hyvinkäälle	25	23	0	6689282	347592	Vihti
C0150602	1025	Tie 25 Myllylampi	Tie 25 Hankoon	25	23	0	6689282	347592	Vihti
C0150603	1025	Tie 25 Myllylampi	Tie 110 Turkuun	25	23	0	6689282	347592	Vihti
C0150604	1025	Tie 25 Myllylampi	Tie 110 Helsinkiin	25	23	0	6689282	347592	Vihti
C0150609	1025	Tie 25 Myllylampi	Tie 25 Tienpinta	25	23	0	6689282	347592	Vihti
C0162401	1017	Tie 25 Haimoo	Hyvinkäälle	25	27	20	6703769	363207	Vihti
C0162402	1017	Tie 25 Haimoo	Hankoon	25	27	20	6703769	363207	Vihti
C0162409	1017	Tie 25 Haimoo	Tienpinta	25	27	20	6703769	363207	Vihti
C0361400	3064	Tie 26 Töytäri		26	3	53	6702961	455597	
C0358101	3043	Tie 26 Hamina, Myllykylä	Taavettiin	26	4	2192	6721643	511844	Hamina
C0358102	3043	Tie 26 Hamina, Myllykylä	Haminaan	26	4	2192	6721643	511844	Hamina
C0357601	5008	Tie 26 Hamina, Pyhältö	Luumäelle	26	7	1507	6735929	518972	Hamina
C0357602	5008	Tie 26 Hamina, Pyhältö	Haminaan	26	7	1507	6735929	518972	Hamina
C1251801	11003	Tie 27 Ylivieska	Iisalmeen	27	5	2070	7107558	378439	Ylivieska
